"","Site1","Site2","estimator","relatedness","distance_metric","distance"
"105","FIG","SES","rxy",0.00234600021104175,"SPDistance",240.9938555
"106","FIG","SIL","rxy",-0.00281121309301584,"SPDistance",215.001961
"107","FIG","SIN","rxy",0.00212510518148513,"SPDistance",322.2133447
"108","FIG","VP","rxy",0.00162130670725692,"SPDistance",172.1964231
"109","GROVE","GROVE","rxy",-0.00558521960292121,"SPDistance",0
"110","GROVE","ONS","rxy",-0.00194679334438985,"SPDistance",7.168346802
"111","GROVE","SALV","rxy",0.00367207932118083,"SPDistance",6.358447487
"112","GROVE","SES","rxy",-0.000222684800484038,"SPDistance",493.8319887
"113","GROVE","SIL","rxy",-0.00196528178968344,"SPDistance",39.42490549
"114","GROVE","SIN","rxy",-0.00113596872410157,"SPDistance",575.0514779
"115","GROVE","VP","rxy",-1.39715419669634e-05,"SPDistance",89.76809613
"116","ONS","ONS","rxy",0.00107804257596529,"SPDistance",0
"117","ONS","SALV","rxy",0.00236586197175807,"SPDistance",10.88464149
"118","ONS","SES","rxy",-0.00125834568886238,"SPDistance",486.709202
"119","ONS","SIL","rxy",-0.000934368638845013,"SPDistance",32.25655869
"120","ONS","SIN","rxy",-0.00189240945932922,"SPDistance",567.9286912
"121","ONS","VP","rxy",-0.00250012289294884,"SPDistance",82.59974933
"122","SALV","SALV","rxy",0.00773065972307476,"SPDistance",0
"123","SALV","SES","rxy",0.00725606331930167,"SPDistance",490.0957515
"124","SALV","SIL","rxy",0.00607338950371163,"SPDistance",43.14120018
"125","SALV","SIN","rxy",0.00748730530096492,"SPDistance",571.3152408
"126","SALV","VP","rxy",0.00388615504653832,"SPDistance",93.48439082
"127","SES","SES","rxy",0.00319477746197709,"SPDistance",0
"128","SES","SIL","rxy",-4.54515314344146e-05,"SPDistance",454.6571
"129","SES","SIN","rxy",0.00729395810095997,"SPDistance",81.21948924
"130","SES","VP","rxy",0.00128380532466969,"SPDistance",412.167751
"131","SIL","SIL","rxy",0.00358699436389277,"SPDistance",0
"132","SIL","SIN","rxy",-0.00580704073673726,"SPDistance",535.8765892
"133","SIL","VP","rxy",-0.000512864866494682,"SPDistance",50.34319064
"134","SIN","SIN","rxy",-0.00251936651587195,"SPDistance",0
"135","SIN","VP","rxy",0.00129891056042435,"SPDistance",493.3872402
"136","VP","VP","rxy",-0.00384192614233517,"SPDistance",0
"137","AVE","AVE","n",0,"SPDistance",0
"138","AVE","BER","n",0,"SPDistance",86.87749059
"139","AVE","CIESN","n",0,"SPDistance",432.1654782
"140","AVE","CIESS","n",1,"SPDistance",428.6041424
"141","AVE","COR","n",0,"SPDistance",460.3267746
"142","AVE","COUSO","n",0,"SPDistance",439.2881763
"143","AVE","ERI","n",0,"SPDistance",44.3253858
"144","AVE","ESPO","n",0,"SPDistance",361.1973532
"145","AVE","FIG","n",1,"SPDistance",204.2569431
"146","AVE","GROVE","n",0,"SPDistance",457.0950764
"147","AVE","ONS","n",0,"SPDistance",449.9722897
"148","AVE","SALV","n",0,"SPDistance",453.3588392
"149","AVE","SES","n",0,"SPDistance",36.73691232
"150","AVE","SIL","n",0,"SPDistance",417.9201876
"151","AVE","SIN","n",1,"SPDistance",117.9564016
"152","AVE","VP","n",0,"SPDistance",375.4308387
"153","BER","BER","n",0,"SPDistance",0
"154","BER","CIESN","n",0,"SPDistance",345.2879877
"155","BER","CIESS","n",0,"SPDistance",341.7266518
"156","BER","COR","n",0,"SPDistance",373.449284
"157","BER","COUSO","n",0,"SPDistance",352.4106857
"158","BER","ERI","n",0,"SPDistance",50.5487865
"159","BER","ESPO","n",0,"SPDistance",274.3198626
"160","BER","FIG","n",1,"SPDistance",117.3794526
"161","BER","GROVE","n",0,"SPDistance",370.2175858
"162","BER","ONS","n",0,"SPDistance",363.0947991
"163","BER","SALV","n",0,"SPDistance",366.4813486
"164","BER","SES","n",0,"SPDistance",123.6144029
"165","BER","SIL","n",0,"SPDistance",331.0426971
"166","BER","SIN","n",0,"SPDistance",204.8338922
"167","BER","VP","n",0,"SPDistance",288.5533481
"168","CIESN","CIESN","n",0,"SPDistance",0
"169","CIESN","CIESS","n",0,"SPDistance",3.584041834
"170","CIESN","COR","n",0,"SPDistance",43.25984251
"171","CIESN","COUSO","n",1,"SPDistance",7.168144374
"172","CIESN","ERI","n",0,"SPDistance",388.099881
"173","CIESN","ESPO","n",0,"SPDistance",79.01390842
"174","CIESN","FIG","n",0,"SPDistance",229.338007
"175","CIESN","GROVE","n",0,"SPDistance",25.08885954
"176","CIESN","ONS","n",2,"SPDistance",17.92051274
"177","CIESN","SALV","n",1,"SPDistance",28.80515423
"178","CIESN","SES","n",1,"SPDistance",468.9023906
"179","CIESN","SIL","n",0,"SPDistance",14.33604595
"180","CIESN","SIN","n",0,"SPDistance",550.1218798
"181","CIESN","VP","n",0,"SPDistance",64.67923659
"182","CIESS","CIESS","n",0,"SPDistance",0
"183","CIESS","COR","n",0,"SPDistance",46.84388434
"184","CIESS","COUSO","n",1,"SPDistance",10.75218621
"185","CIESS","ERI","n",1,"SPDistance",384.5357119
"186","CIESS","ESPO","n",0,"SPDistance",75.42986659
"187","CIESS","FIG","n",1,"SPDistance",225.7539651
"188","CIESS","GROVE","n",0,"SPDistance",28.67290137
"189","CIESS","ONS","n",1,"SPDistance",21.50455457
"190","CIESS","SALV","n",1,"SPDistance",32.38919606
"191","CIESS","SES","n",0,"SPDistance",465.3410548
"192","CIESS","SIL","n",1,"SPDistance",10.75200412
"193","CIESS","SIN","n",0,"SPDistance",546.560544
"194","CIESS","VP","n",0,"SPDistance",61.09519476
"195","COR","COR","n",0,"SPDistance",0
"196","COR","COUSO","n",0,"SPDistance",36.09169814
"197","COR","ERI","n",0,"SPDistance",416.2952876
"198","COR","ESPO","n",0,"SPDistance",122.2737509
"199","COR","FIG","n",0,"SPDistance",272.5978495
"200","COR","GROVE","n",0,"SPDistance",18.17098297
"201","COR","ONS","n",0,"SPDistance",25.33932977
"202","COR","SALV","n",2,"SPDistance",14.46039884
"203","COR","SES","n",0,"SPDistance",497.0636869
"204","COR","SIL","n",0,"SPDistance",57.59588846
"205","COR","SIN","n",0,"SPDistance",578.2831761
"206","COR","VP","n",0,"SPDistance",107.9390791
"207","COUSO","COUSO","n",0,"SPDistance",0
"208","COUSO","ERI","n",1,"SPDistance",395.2282498
"209","COUSO","ESPO","n",1,"SPDistance",86.1820528
"210","COUSO","FIG","n",0,"SPDistance",236.5061513
"211","COUSO","GROVE","n",0,"SPDistance",17.92071516
"212","COUSO","ONS","n",0,"SPDistance",10.75236836
"213","COUSO","SALV","n",0,"SPDistance",21.63700985
"214","COUSO","SES","n",0,"SPDistance",476.0250886
"215","COUSO","SIL","n",0,"SPDistance",21.50419033
"216","COUSO","SIN","n",0,"SPDistance",557.2445778
"217","COUSO","VP","n",0,"SPDistance",71.84738097
"218","ERI","ERI","n",0,"SPDistance",0
"219","ERI","ESPO","n",0,"SPDistance",317.0697597
"220","ERI","FIG","n",0,"SPDistance",160.012996
"221","ERI","GROVE","n",1,"SPDistance",413.0493519
"222","ERI","ONS","n",0,"SPDistance",405.9208801
"223","ERI","SALV","n",0,"SPDistance",409.3159594
"224","ERI","SES","n",0,"SPDistance",81.06229812
"225","ERI","SIL","n",0,"SPDistance",373.843266
"226","ERI","SIN","n",0,"SPDistance",162.2817874
"227","ERI","VP","n",0,"SPDistance",331.3144646
"228","ESPO","ESPO","n",1,"SPDistance",0
"229","ESPO","FIG","n",0,"SPDistance",157.8730176
"230","ESPO","GROVE","n",0,"SPDistance",104.102768
"231","ESPO","ONS","n",0,"SPDistance",96.93442116
"232","ESPO","SALV","n",0,"SPDistance",107.8190626
"233","ESPO","SES","n",0,"SPDistance",397.9342655
"234","ESPO","SIL","n",1,"SPDistance",64.67786247
"235","ESPO","SIN","n",0,"SPDistance",479.1537548
"236","ESPO","VP","n",1,"SPDistance",14.33467183
"237","FIG","FIG","n",0,"SPDistance",0
"238","FIG","GROVE","n",0,"SPDistance",254.4268665
"239","FIG","ONS","n",0,"SPDistance",247.2585197
"240","FIG","SALV","n",0,"SPDistance",258.1431612
"241","FIG","SES","n",0,"SPDistance",240.9938555
"242","FIG","SIL","n",0,"SPDistance",215.001961
"243","FIG","SIN","n",0,"SPDistance",322.2133447
"244","FIG","VP","n",0,"SPDistance",172.1964231
"245","GROVE","GROVE","n",0,"SPDistance",0
"246","GROVE","ONS","n",0,"SPDistance",7.168346802
"247","GROVE","SALV","n",0,"SPDistance",6.358447487
"248","GROVE","SES","n",0,"SPDistance",493.8319887
"249","GROVE","SIL","n",0,"SPDistance",39.42490549
"250","GROVE","SIN","n",0,"SPDistance",575.0514779
"251","GROVE","VP","n",0,"SPDistance",89.76809613
"252","ONS","ONS","n",0,"SPDistance",0
"253","ONS","SALV","n",0,"SPDistance",10.88464149
"254","ONS","SES","n",0,"SPDistance",486.709202
"255","ONS","SIL","n",0,"SPDistance",32.25655869
"256","ONS","SIN","n",0,"SPDistance",567.9286912
"257","ONS","VP","n",0,"SPDistance",82.59974933
"258","SALV","SALV","n",0,"SPDistance",0
"259","SALV","SES","n",0,"SPDistance",490.0957515
"260","SALV","SIL","n",0,"SPDistance",43.14120018
"261","SALV","SIN","n",0,"SPDistance",571.3152408
"262","SALV","VP","n",0,"SPDistance",93.48439082
"263","SES","SES","n",1,"SPDistance",0
"264","SES","SIL","n",0,"SPDistance",454.6571
"265","SES","SIN","n",0,"SPDistance",81.21948924
"266","SES","VP","n",0,"SPDistance",412.167751
"267","SIL","SIL","n",0,"SPDistance",0
"268","SIL","SIN","n",0,"SPDistance",535.8765892
"269","SIL","VP","n",1,"SPDistance",50.34319064
"270","SIN","SIN","n",0,"SPDistance",0
"271","SIN","VP","n",0,"SPDistance",493.3872402
"272","VP","VP","n",0,"SPDistance",0
"273","AVE","AVE","NDistance",NA,"SPDistance",0
"274","AVE","BER","NDistance",0.139,"SPDistance",86.87749059
"275","AVE","CIESN","NDistance",0.127,"SPDistance",432.1654782
"276","AVE","CIESS","NDistance",0.124,"SPDistance",428.6041424
"277","AVE","COR","NDistance",0.11,"SPDistance",460.3267746
"278","AVE","COUSO","NDistance",0.108,"SPDistance",439.2881763
"279","AVE","ERI","NDistance",0.125,"SPDistance",44.3253858
"280","AVE","ESPO","NDistance",0.101,"SPDistance",361.1973532
"281","AVE","FIG","NDistance",0.116,"SPDistance",204.2569431
"282","AVE","GROVE","NDistance",0.112,"SPDistance",457.0950764
"283","AVE","ONS","NDistance",0.108,"SPDistance",449.9722897
"284","AVE","SALV","NDistance",0.108,"SPDistance",453.3588392
"285","AVE","SES","NDistance",0.124,"SPDistance",36.73691232
"286","AVE","SIL","NDistance",0.14,"SPDistance",417.9201876
"287","AVE","SIN","NDistance",0.131,"SPDistance",117.9564016
"288","AVE","VP","NDistance",0.134,"SPDistance",375.4308387
"289","BER","BER","NDistance",NA,"SPDistance",0
"290","BER","CIESN","NDistance",0.126,"SPDistance",345.2879877
"291","BER","CIESS","NDistance",0.133,"SPDistance",341.7266518
"292","BER","COR","NDistance",0.132,"SPDistance",373.449284
"293","BER","COUSO","NDistance",0.141,"SPDistance",352.4106857
"294","BER","ERI","NDistance",0.121,"SPDistance",50.5487865
"295","BER","ESPO","NDistance",0.135,"SPDistance",274.3198626
"296","BER","FIG","NDistance",0.13,"SPDistance",117.3794526
"297","BER","GROVE","NDistance",0.136,"SPDistance",370.2175858
"298","BER","ONS","NDistance",0.129,"SPDistance",363.0947991
"299","BER","SALV","NDistance",0.131,"SPDistance",366.4813486
"300","BER","SES","NDistance",0.145,"SPDistance",123.6144029
"301","BER","SIL","NDistance",0.165,"SPDistance",331.0426971
"302","BER","SIN","NDistance",0.165,"SPDistance",204.8338922
"303","BER","VP","NDistance",0.139,"SPDistance",288.5533481
"304","CIESN","CIESN","NDistance",NA,"SPDistance",0
"305","CIESN","CIESS","NDistance",0.11,"SPDistance",3.584041834
"306","CIESN","COR","NDistance",0.117,"SPDistance",43.25984251
"307","CIESN","COUSO","NDistance",0.106,"SPDistance",7.168144374
"308","CIESN","ERI","NDistance",0.12,"SPDistance",388.099881
"309","CIESN","ESPO","NDistance",0.115,"SPDistance",79.01390842
"310","CIESN","FIG","NDistance",0.106,"SPDistance",229.338007
"311","CIESN","GROVE","NDistance",0.118,"SPDistance",25.08885954
"312","CIESN","ONS","NDistance",0.095,"SPDistance",17.92051274
"313","CIESN","SALV","NDistance",0.111,"SPDistance",28.80515423
"314","CIESN","SES","NDistance",0.121,"SPDistance",468.9023906
"315","CIESN","SIL","NDistance",0.126,"SPDistance",14.33604595
"316","CIESN","SIN","NDistance",0.148,"SPDistance",550.1218798
"317","CIESN","VP","NDistance",0.129,"SPDistance",64.67923659
"318","CIESS","CIESS","NDistance",NA,"SPDistance",0
"319","CIESS","COR","NDistance",0.116,"SPDistance",46.84388434
"320","CIESS","COUSO","NDistance",0.107,"SPDistance",10.75218621
"321","CIESS","ERI","NDistance",0.119,"SPDistance",384.5357119
"322","CIESS","ESPO","NDistance",0.103,"SPDistance",75.42986659
"323","CIESS","FIG","NDistance",0.11,"SPDistance",225.7539651
"324","CIESS","GROVE","NDistance",0.139,"SPDistance",28.67290137
"325","CIESS","ONS","NDistance",0.106,"SPDistance",21.50455457
"326","CIESS","SALV","NDistance",0.109,"SPDistance",32.38919606
"327","CIESS","SES","NDistance",0.128,"SPDistance",465.3410548
"328","CIESS","SIL","NDistance",0.133,"SPDistance",10.75200412
"329","CIESS","SIN","NDistance",0.139,"SPDistance",546.560544
"330","CIESS","VP","NDistance",0.127,"SPDistance",61.09519476
"331","COR","COR","NDistance",NA,"SPDistance",0
"332","COR","COUSO","NDistance",0.104,"SPDistance",36.09169814
"333","COR","ERI","NDistance",0.115,"SPDistance",416.2952876
"334","COR","ESPO","NDistance",0.088,"SPDistance",122.2737509
"335","COR","FIG","NDistance",0.111,"SPDistance",272.5978495
"336","COR","GROVE","NDistance",0.092,"SPDistance",18.17098297
"337","COR","ONS","NDistance",0.1,"SPDistance",25.33932977
"338","COR","SALV","NDistance",0.104,"SPDistance",14.46039884
"339","COR","SES","NDistance",0.112,"SPDistance",497.0636869
"340","COR","SIL","NDistance",0.127,"SPDistance",57.59588846
"341","COR","SIN","NDistance",0.133,"SPDistance",578.2831761
"342","COR","VP","NDistance",0.117,"SPDistance",107.9390791
"343","COUSO","COUSO","NDistance",NA,"SPDistance",0
"344","COUSO","ERI","NDistance",0.112,"SPDistance",395.2282498
"345","COUSO","ESPO","NDistance",0.09,"SPDistance",86.1820528
"346","COUSO","FIG","NDistance",0.103,"SPDistance",236.5061513
"347","COUSO","GROVE","NDistance",0.101,"SPDistance",17.92071516
"348","COUSO","ONS","NDistance",0.09,"SPDistance",10.75236836
"349","COUSO","SALV","NDistance",0.113,"SPDistance",21.63700985
"350","COUSO","SES","NDistance",0.111,"SPDistance",476.0250886
"351","COUSO","SIL","NDistance",0.119,"SPDistance",21.50419033
"352","COUSO","SIN","NDistance",0.15,"SPDistance",557.2445778
"353","COUSO","VP","NDistance",0.116,"SPDistance",71.84738097
"354","ERI","ERI","NDistance",NA,"SPDistance",0
"355","ERI","ESPO","NDistance",0.104,"SPDistance",317.0697597
"356","ERI","FIG","NDistance",0.112,"SPDistance",160.012996
"357","ERI","GROVE","NDistance",0.108,"SPDistance",413.0493519
"358","ERI","ONS","NDistance",0.104,"SPDistance",405.9208801
"359","ERI","SALV","NDistance",0.119,"SPDistance",409.3159594
"360","ERI","SES","NDistance",0.122,"SPDistance",81.06229812
"361","ERI","SIL","NDistance",0.131,"SPDistance",373.843266
"362","ERI","SIN","NDistance",0.143,"SPDistance",162.2817874
"363","ERI","VP","NDistance",0.112,"SPDistance",331.3144646
"364","ESPO","ESPO","NDistance",NA,"SPDistance",0
"365","ESPO","FIG","NDistance",0.101,"SPDistance",157.8730176
"366","ESPO","GROVE","NDistance",0.101,"SPDistance",104.102768
"367","ESPO","ONS","NDistance",0.094,"SPDistance",96.93442116
"368","ESPO","SALV","NDistance",0.089,"SPDistance",107.8190626
"369","ESPO","SES","NDistance",0.12,"SPDistance",397.9342655
"370","ESPO","SIL","NDistance",0.115,"SPDistance",64.67786247
"371","ESPO","SIN","NDistance",0.149,"SPDistance",479.1537548
"372","ESPO","VP","NDistance",0.12,"SPDistance",14.33467183
"373","FIG","FIG","NDistance",NA,"SPDistance",0
"374","FIG","GROVE","NDistance",0.103,"SPDistance",254.4268665
"375","FIG","ONS","NDistance",0.099,"SPDistance",247.2585197
"376","FIG","SALV","NDistance",0.107,"SPDistance",258.1431612
"377","FIG","SES","NDistance",0.119,"SPDistance",240.9938555
"378","FIG","SIL","NDistance",0.138,"SPDistance",215.001961
"379","FIG","SIN","NDistance",0.15,"SPDistance",322.2133447
"380","FIG","VP","NDistance",0.117,"SPDistance",172.1964231
"381","GROVE","GROVE","NDistance",NA,"SPDistance",0
"382","GROVE","ONS","NDistance",0.096,"SPDistance",7.168346802
"383","GROVE","SALV","NDistance",0.097,"SPDistance",6.358447487
"384","GROVE","SES","NDistance",0.107,"SPDistance",493.8319887
"385","GROVE","SIL","NDistance",0.118,"SPDistance",39.42490549
"386","GROVE","SIN","NDistance",0.145,"SPDistance",575.0514779
"387","GROVE","VP","NDistance",0.103,"SPDistance",89.76809613
"388","ONS","ONS","NDistance",NA,"SPDistance",0
"389","ONS","SALV","NDistance",0.106,"SPDistance",10.88464149
"390","ONS","SES","NDistance",0.115,"SPDistance",486.709202
"391","ONS","SIL","NDistance",0.121,"SPDistance",32.25655869
"392","ONS","SIN","NDistance",0.146,"SPDistance",567.9286912
"393","ONS","VP","NDistance",0.116,"SPDistance",82.59974933
"394","SALV","SALV","NDistance",NA,"SPDistance",0
"395","SALV","SES","NDistance",0.108,"SPDistance",490.0957515
"396","SALV","SIL","NDistance",0.116,"SPDistance",43.14120018
"397","SALV","SIN","NDistance",0.136,"SPDistance",571.3152408
"398","SALV","VP","NDistance",0.113,"SPDistance",93.48439082
"399","SES","SES","NDistance",NA,"SPDistance",0
"400","SES","SIL","NDistance",0.138,"SPDistance",454.6571
"401","SES","SIN","NDistance",0.144,"SPDistance",81.21948924
"402","SES","VP","NDistance",0.128,"SPDistance",412.167751
"403","SIL","SIL","NDistance",NA,"SPDistance",0
"404","SIL","SIN","NDistance",0.189,"SPDistance",535.8765892
"405","SIL","VP","NDistance",0.135,"SPDistance",50.34319064
"406","SIN","SIN","NDistance",NA,"SPDistance",0
"407","SIN","VP","NDistance",0.163,"SPDistance",493.3872402
"408","VP","VP","NDistance",NA,"SPDistance",0
"409","AVE","AVE","F1Distance",NA,"SPDistance",0
"410","AVE","BER","F1Distance",0.00610706991438029,"SPDistance",86.87749059
"411","AVE","CIESN","F1Distance",0.00936692506459948,"SPDistance",432.1654782
"412","AVE","CIESS","F1Distance",0.00592489764714166,"SPDistance",428.6041424
"413","AVE","COR","F1Distance",0.00830846172461079,"SPDistance",460.3267746
"414","AVE","COUSO","F1Distance",0.00699864055183525,"SPDistance",439.2881763
"415","AVE","ERI","F1Distance",0.0094076795736262,"SPDistance",44.3253858
"416","AVE","ESPO","F1Distance",0.00523728626142201,"SPDistance",361.1973532
"417","AVE","FIG","F1Distance",0.00814581821114606,"SPDistance",204.2569431
"418","AVE","GROVE","F1Distance",0.0102132560183455,"SPDistance",457.0950764
"419","AVE","ONS","F1Distance",0.00906137111259107,"SPDistance",449.9722897
"420","AVE","SALV","F1Distance",0.00791211006400242,"SPDistance",453.3588392
"421","AVE","SES","F1Distance",0.0108565998827406,"SPDistance",36.73691232
"422","AVE","SIL","F1Distance",0.00863390623739208,"SPDistance",417.9201876
"423","AVE","SIN","F1Distance",0.00592489764714166,"SPDistance",117.9564016
"424","AVE","VP","F1Distance",0.0121047730861099,"SPDistance",375.4308387
"425","BER","BER","F1Distance",NA,"SPDistance",0
