"","Site1","Site2","distance_metric","distance","n","upr","lwr","estimator","relatedness"
"1","AVE","AVE","SPDistance",0,0.279742151916832,0.419846139716989,0.139638164116676,"n",0.279742151916832
"2","AVE","BER","SPDistance",86.87749059,0.223695554801564,0.314133588413275,0.133257521189853,"n",0.223695554801564
"3","AVE","CIESN","SPDistance",432.1654782,0.0919895647839391,0.16957562878286,0.0144035007850186,"n",0.0919895647839391
"4","AVE","CIESS","SPDistance",428.6041424,0.0928365451752352,0.170420863998776,0.0152522263516947,"n",0.0928365451752352
"5","AVE","COR","SPDistance",460.3267746,0.0855585598220679,0.162994516205849,0.00812260343828669,"n",0.0855585598220679
"6","AVE","COUSO","SPDistance",439.2881763,0.0903187092411742,0.167894146030309,0.0127432724520392,"n",0.0903187092411742
"7","AVE","ERI","SPDistance",44.3253858,0.249583953172926,0.35977889520641,0.139389011139442,"n",0.249583953172926
"8","AVE","ESPO","SPDistance",361.1973532,0.110422522915816,0.187081216069749,0.0337638297618839,"n",0.110422522915816
"9","AVE","FIG","SPDistance",204.2569431,0.165373379431443,0.237310394628304,0.0934363642345818,"n",0.165373379431443
"10","AVE","GROVE","SPDistance",457.0950764,0.0862731082146561,0.163740825842627,0.00880539058668502,"n",0.0862731082146561
"11","AVE","ONS","SPDistance",449.9722897,0.0878691419915302,0.16539371277952,0.0103445712035404,"n",0.0878691419915302
"12","AVE","SALV","SPDistance",453.3588392,0.0871066543565179,0.164606461567315,0.00960684714572038,"n",0.0871066543565179
"13","AVE","SES","SPDistance",36.73691232,0.254506035094395,0.369127705120486,0.139884365068305,"n",0.254506035094395
"14","AVE","SIL","SPDistance",417.9201876,0.095424551989503,0.172975177682576,0.0178739262964297,"n",0.095424551989503
"15","AVE","SIN","SPDistance",117.9564016,0.206500600413258,0.287585724987043,0.125415475839472,"n",0.206500600413258
"16","AVE","VP","SPDistance",375.4308387,0.106450889402783,0.183443772430454,0.0294580063751131,"n",0.106450889402783
"17","BER","BER","SPDistance",0,0.279742151916832,0.419846139716989,0.139638164116676,"n",0.279742151916832
"18","BER","CIESN","SPDistance",345.2879877,0.115037416918808,0.191242281029958,0.0388325528076585,"n",0.115037416918808
"19","BER","CIESS","SPDistance",341.7266518,0.116096607049481,0.19218912652389,0.0400040875750718,"n",0.116096607049481
"20","BER","COR","SPDistance",373.449284,0.10699513301182,0.183945754777148,0.0300445112464924,"n",0.10699513301182
"21","BER","COUSO","SPDistance",352.4106857,0.112947930970465,0.189365966241151,0.0365298956997791,"n",0.112947930970465
"22","BER","ERI","SPDistance",50.5487865,0.245618422187169,0.352391571358689,0.138845273015649,"n",0.245618422187169
"23","BER","ESPO","SPDistance",274.3198626,0.138088726031024,0.211599611440299,0.0645778406217493,"n",0.138088726031024
"24","BER","FIG","SPDistance",117.3794526,0.206807439970068,0.288030547544201,0.125584332395935,"n",0.206807439970068
"25","BER","GROVE","SPDistance",370.2175858,0.107888710468796,0.184767413728434,0.0310100072091583,"n",0.107888710468796
"26","BER","ONS","SPDistance",363.0947991,0.109884628195826,0.18659192163848,0.0331773347531721,"n",0.109884628195826
"27","BER","SALV","SPDistance",366.4813486,0.1089311003887,0.185722081835745,0.0321401189416542,"n",0.1089311003887
"28","BER","SES","SPDistance",123.6144029,0.203515517172322,0.283314383335117,0.123716651009527,"n",0.203515517172322
"29","BER","SIL","SPDistance",331.0426971,0.119333035190352,0.195067143649892,0.0435989267308109,"n",0.119333035190352
"30","BER","SIN","SPDistance",204.8338922,0.165128015419158,0.237059761062338,0.0931962697759779,"n",0.165128015419158
"31","BER","VP","SPDistance",288.5533481,0.133122005496166,0.207207738774346,0.0590362722179854,"n",0.133122005496166
"32","CIESN","CIESN","SPDistance",0,0.279742151916832,0.419846139716989,0.139638164116676,"n",0.279742151916832
"33","CIESN","CIESS","SPDistance",3.584041834,0.277173769001281,0.414490226821529,0.139857311181034,"n",0.277173769001281
"34","CIESN","COR","SPDistance",43.25984251,0.250269304883755,0.361068897138593,0.139469712628917,"n",0.250269304883755
"35","CIESN","COUSO","SPDistance",7.168144374,0.274628924148959,0.409223929275933,0.140033919021984,"n",0.274628924148959
"36","CIESN","ERI","SPDistance",388.099881,0.103036110877077,0.180265575877972,0.025806645876183,"n",0.103036110877077
"37","CIESN","ESPO","SPDistance",79.01390842,0.228268645250705,0.321728634580435,0.134808655920975,"n",0.228268645250705
"38","CIESN","FIG","SPDistance",229.338007,0.155036227853294,0.227118082370918,0.082954373335669,"n",0.155036227853294
"39","CIESN","GROVE","SPDistance",25.08885954,0.262250780959178,0.384218174655875,0.140283387262482,"n",0.262250780959178
"40","CIESN","ONS","SPDistance",17.92051274,0.267133683216443,0.393957550306731,0.140309816126154,"n",0.267133683216443
"41","CIESN","SALV","SPDistance",28.80515423,0.259754566273953,0.379305304916259,0.140203827631647,"n",0.259754566273953
"42","CIESN","SES","SPDistance",468.9023906,0.0836909962906114,0.16102487969594,0.00635711288528332,"n",0.0836909962906114
"43","CIESN","SIL","SPDistance",14.33604595,0.269609326264265,0.398958615009526,0.140260037519003,"n",0.269609326264265
"44","CIESN","SIN","SPDistance",550.1218798,0.0679050340804027,0.143103458424616,-0.00729339026381078,"n",0.0679050340804027
"45","CIESN","VP","SPDistance",64.67923659,0.236846911434966,0.336538029439416,0.137155793430515,"n",0.236846911434966
"46","CIESS","CIESS","SPDistance",0,0.279742151916832,0.419846139716989,0.139638164116676,"n",0.279742151916832
"47","CIESS","COR","SPDistance",46.84388434,0.247971519577423,0.356759197664973,0.139183841489874,"n",0.247971519577423
"48","CIESS","COUSO","SPDistance",10.75218621,0.272107487059629,0.40404685628081,0.140168117838448,"n",0.272107487059629
