"","Site1","Site2","SPDistance","scale","estimator","relatedness"
"93","ESPO","FIG",157.8730176,"broad","rxy",0.00228948683020506
"94","ESPO","GROVE",104.102768,"broad","rxy",-0.00231422769860811
"95","ESPO","ONS",96.93442116,"broad","rxy",-0.000441280924925905
"96","ESPO","SALV",107.8190626,"broad","rxy",0.00905194904490318
"97","ESPO","SES",397.9342655,"broad","rxy",-0.000504778391905025
"98","ESPO","SIL",64.67786247,"broad","rxy",0.000527628987128217
"99","ESPO","SIN",479.1537548,"broad","rxy",0.00140028214727446
"100","ESPO","VP",14.33467183,"broad","rxy",0.000455771824128184
"101","FIG","FIG",0,"broad","rxy",9.43355129458339e-05
"102","FIG","GROVE",254.4268665,"broad","rxy",-0.000175112518788535
"103","FIG","ONS",247.2585197,"broad","rxy",0.000737103866757332
"104","FIG","SALV",258.1431612,"broad","rxy",0.00762744748328773
"105","FIG","SES",240.9938555,"broad","rxy",0.00234600021104175
"106","FIG","SIL",215.001961,"broad","rxy",-0.00281121309301584
"107","FIG","SIN",322.2133447,"broad","rxy",0.00212510518148513
"108","FIG","VP",172.1964231,"broad","rxy",0.00162130670725692
"109","GROVE","GROVE",0,"broad","rxy",-0.00558521960292121
"110","GROVE","ONS",7.168346802,"broad","rxy",-0.00194679334438985
"111","GROVE","SALV",6.358447487,"broad","rxy",0.00367207932118083
"112","GROVE","SES",493.8319887,"broad","rxy",-0.000222684800484038
"113","GROVE","SIL",39.42490549,"broad","rxy",-0.00196528178968344
"114","GROVE","SIN",575.0514779,"broad","rxy",-0.00113596872410157
"115","GROVE","VP",89.76809613,"broad","rxy",-1.39715419669634e-05
"116","ONS","ONS",0,"broad","rxy",0.00107804257596529
"117","ONS","SALV",10.88464149,"broad","rxy",0.00236586197175807
"118","ONS","SES",486.709202,"broad","rxy",-0.00125834568886238
"119","ONS","SIL",32.25655869,"broad","rxy",-0.000934368638845013
"120","ONS","SIN",567.9286912,"broad","rxy",-0.00189240945932922
"121","ONS","VP",82.59974933,"broad","rxy",-0.00250012289294884
"122","SALV","SALV",0,"broad","rxy",0.00773065972307476
"123","SALV","SES",490.0957515,"broad","rxy",0.00725606331930167
"124","SALV","SIL",43.14120018,"broad","rxy",0.00607338950371163
"125","SALV","SIN",571.3152408,"broad","rxy",0.00748730530096492
"126","SALV","VP",93.48439082,"broad","rxy",0.00388615504653832
"127","SES","SES",0,"broad","rxy",0.00319477746197709
"128","SES","SIL",454.6571,"broad","rxy",-4.54515314344146e-05
"129","SES","SIN",81.21948924,"broad","rxy",0.00729395810095997
"130","SES","VP",412.167751,"broad","rxy",0.00128380532466969
"131","SIL","SIL",0,"broad","rxy",0.00358699436389277
"132","SIL","SIN",535.8765892,"broad","rxy",-0.00580704073673726
"133","SIL","VP",50.34319064,"broad","rxy",-0.000512864866494682
"134","SIN","SIN",0,"broad","rxy",-0.00251936651587195
"135","SIN","VP",493.3872402,"broad","rxy",0.00129891056042435
"136","VP","VP",0,"broad","rxy",-0.00384192614233517
"137","CIESN","CIESN",0,"local","rxy",-0.00096150811479667
"138","CIESN","CIESS",3.584041834,"local","rxy",0.00210665852896368
"139","CIESN","COR",43.25984251,"local","rxy",-0.00470610579394264
"140","CIESN","COUSO",7.168144374,"local","rxy",-0.00360762907130335
"141","CIESN","GROVE",25.08885954,"local","rxy",-0.00614749813437924
"142","CIESN","ONS",17.92051274,"local","rxy",0.000595063889394527
"143","CIESN","SALV",28.80515423,"local","rxy",0.00276806384965753
"144","CIESN","SIL",14.33604595,"local","rxy",-0.00177601150033521
"145","CIESS","CIESS",0,"local","rxy",0.00459236237389417
"146","CIESS","COR",46.84388434,"local","rxy",-0.000582386363353007
"147","CIESS","COUSO",10.75218621,"local","rxy",0.00163495535488059
"148","CIESS","GROVE",28.67290137,"local","rxy",-0.00582746656229791
"149","CIESS","ONS",21.50455457,"local","rxy",0.00126241356058206
"150","CIESS","SALV",32.38919606,"local","rxy",0.0081920821919041
"151","CIESS","SIL",10.75200412,"local","rxy",0.00105756453817269
"152","COR","COR",0,"local","rxy",-0.0018267753084491
"153","COR","COUSO",36.09169814,"local","rxy",-0.00377198655653275
"154","COR","GROVE",18.17098297,"local","rxy",-0.000237382060020356
"155","COR","ONS",25.33932977,"local","rxy",-0.00258276084400948
"156","COR","SALV",14.46039884,"local","rxy",0.00353797323582997
"157","COR","SIL",57.59588846,"local","rxy",-0.00297458516574221
"158","COUSO","COUSO",0,"local","rxy",-0.00414164888686274
"159","COUSO","GROVE",17.92071516,"local","rxy",-0.00435790885543248
"160","COUSO","ONS",10.75236836,"local","rxy",-0.00193093416917043
"161","COUSO","SALV",21.63700985,"local","rxy",-5.28628570311149e-05
"162","COUSO","SIL",21.50419033,"local","rxy",-0.0015916865909316
"163","GROVE","GROVE",0,"local","rxy",-0.00558521960292121
"164","GROVE","ONS",7.168346802,"local","rxy",-0.00194679334438985
"165","GROVE","SALV",6.358447487,"local","rxy",0.00367207932118083
"166","GROVE","SIL",39.42490549,"local","rxy",-0.00196528178968344
"167","ONS","ONS",0,"local","rxy",0.00107804257596529
"168","ONS","SALV",10.88464149,"local","rxy",0.00236586197175807
"169","ONS","SIL",32.25655869,"local","rxy",-0.000934368638845013
"170","SALV","SALV",0,"local","rxy",0.00773065972307476
"171","SALV","SIL",43.14120018,"local","rxy",0.00607338950371163
"172","SIL","SIL",0,"local","rxy",0.00358699436389277
"173","AVE","AVE",0,"broad","wang",-0.00263797067027406
"174","AVE","BER",86.87749059,"broad","wang",-0.011473377819168
"175","AVE","CIESN",432.1654782,"broad","wang",-0.00735249677483175
"176","AVE","CIESS",428.6041424,"broad","wang",-0.00378170514840515
"177","AVE","COR",460.3267746,"broad","wang",-0.00570021589810435
"178","AVE","COUSO",439.2881763,"broad","wang",-0.00637398057209701
"179","AVE","ERI",44.3253858,"broad","wang",-0.00420651277218186
"180","AVE","ESPO",361.1973532,"broad","wang",-0.00131640201865677
"181","AVE","FIG",204.2569431,"broad","wang",-0.00446751696096192
"182","AVE","GROVE",457.0950764,"broad","wang",-0.00868255896496775
"183","AVE","ONS",449.9722897,"broad","wang",-0.00602927197617278
"184","AVE","SALV",453.3588392,"broad","wang",-0.00126997547123417
"185","AVE","SES",36.73691232,"broad","wang",-0.00394928615181964
"186","AVE","SIL",417.9201876,"broad","wang",-0.00821862145611247
"187","AVE","SIN",117.9564016,"broad","wang",-0.00206022448982666
"188","AVE","VP",375.4308387,"broad","wang",-0.0068272510466202
"189","BER","BER",0,"broad","wang",-0.0137857894015644
"190","BER","CIESN",345.2879877,"broad","wang",-0.00487135140512071
"191","BER","CIESS",341.7266518,"broad","wang",-0.00253328126794587
"192","BER","COR",373.449284,"broad","wang",-0.0067713707669778
"193","BER","COUSO",352.4106857,"broad","wang",-0.0108612301670137
"194","BER","ERI",50.5487865,"broad","wang",-0.00639424682823329
"195","BER","ESPO",274.3198626,"broad","wang",-0.00530800208326557
"196","BER","FIG",117.3794526,"broad","wang",-0.00295502579637701
"197","BER","GROVE",370.2175858,"broad","wang",-0.0107101336661751
"198","BER","ONS",363.0947991,"broad","wang",-0.00569143607273111
"199","BER","SALV",366.4813486,"broad","wang",-0.00536217660735011
"200","BER","SES",123.6144029,"broad","wang",-0.00500764351366472
"201","BER","SIL",331.0426971,"broad","wang",-0.0107165178255394
"202","BER","SIN",204.8338922,"broad","wang",-0.00783396303587569
"203","BER","VP",288.5533481,"broad","wang",-0.00596914178408464
"204","CIESN","CIESN",0,"broad","wang",-0.000422347096982553
"205","CIESN","CIESS",3.584041834,"broad","wang",-0.000158946790812064
"206","CIESN","COR",43.25984251,"broad","wang",-0.00509558833359266
"207","CIESN","COUSO",7.168144374,"broad","wang",-0.00496258746592677
"208","CIESN","ERI",388.099881,"broad","wang",-0.00685893582388551
"209","CIESN","ESPO",79.01390842,"broad","wang",-0.00371429171278899
"210","CIESN","FIG",229.338007,"broad","wang",0.00221737042727168
"211","CIESN","GROVE",25.08885954,"broad","wang",-0.00753724680336268
"212","CIESN","ONS",17.92051274,"broad","wang",0.00145277502284463
"213","CIESN","SALV",28.80515423,"broad","wang",-0.00149659215880446
"214","CIESN","SES",468.9023906,"broad","wang",2.34075017982837e-06
"215","CIESN","SIL",14.33604595,"broad","wang",-0.00574377352584676
"216","CIESN","SIN",550.1218798,"broad","wang",-0.00478086437416087
"217","CIESN","VP",64.67923659,"broad","wang",-0.00644235905231055
"218","CIESS","CIESS",0,"broad","wang",0.00374657663913493
"219","CIESS","COR",46.84388434,"broad","wang",-0.00159262604596782
"220","CIESS","COUSO",10.75218621,"broad","wang",-0.00120788252725905
"221","CIESS","ERI",384.5357119,"broad","wang",0.000937993655445002
"222","CIESS","ESPO",75.42986659,"broad","wang",0.0028039428730509
"223","CIESS","FIG",225.7539651,"broad","wang",0.00565395798731205
"224","CIESS","GROVE",28.67290137,"broad","wang",-0.00507611169415533
"225","CIESS","ONS",21.50455457,"broad","wang",0.00163637185774159
"226","CIESS","SALV",32.38919606,"broad","wang",0.00514965316210674
"227","CIESS","SES",465.3410548,"broad","wang",0.000772971915903718
"228","CIESS","SIL",10.75200412,"broad","wang",-0.00151428304172367
"229","CIESS","SIN",546.560544,"broad","wang",0.0009265274234379
"230","CIESS","VP",61.09519476,"broad","wang",-0.000577473178324841
"231","COR","COR",0,"broad","wang",-0.00142607105505896
"232","COR","COUSO",36.09169814,"broad","wang",-0.00467355205934006
"233","COR","ERI",416.2952876,"broad","wang",-0.00444198449027582
"234","COR","ESPO",122.2737509,"broad","wang",0.000182774618694944
"235","COR","FIG",272.5978495,"broad","wang",0.00092504164627204
"236","COR","GROVE",18.17098297,"broad","wang",-0.00335945932484847
"237","COR","ONS",25.33932977,"broad","wang",-0.00247839548849765
"238","COR","SALV",14.46039884,"broad","wang",0.00016645857243146
"239","COR","SES",497.0636869,"broad","wang",0.00198714740353632
"240","COR","SIL",57.59588846,"broad","wang",-0.0053048491123717
"241","COR","SIN",578.2831761,"broad","wang",-0.0014615015604819
"242","COR","VP",107.9390791,"broad","wang",-0.00348301115739878
"243","COUSO","COUSO",0,"broad","wang",-0.00625816452400253
"244","COUSO","ERI",395.2282498,"broad","wang",-0.00572505099900543
"245","COUSO","ESPO",86.1820528,"broad","wang",-0.00242367881808815
"246","COUSO","FIG",236.5061513,"broad","wang",-0.00143633077184213
"247","COUSO","GROVE",17.92071516,"broad","wang",-0.0065498847105449
"248","COUSO","ONS",10.75236836,"broad","wang",-0.00208453199809471
"249","COUSO","SALV",21.63700985,"broad","wang",-0.00290201693457027
"250","COUSO","SES",476.0250886,"broad","wang",-0.00116771048851032
"251","COUSO","SIL",21.50419033,"broad","wang",-0.00582569496455005
"252","COUSO","SIN",557.2445778,"broad","wang",-0.00827742598240337
"253","COUSO","VP",71.84738097,"broad","wang",-0.00462489153012228
"254","ERI","ERI",0,"broad","wang",0.000372977790303848
"255","ERI","ESPO",317.0697597,"broad","wang",0.0031079792547158
"256","ERI","FIG",160.012996,"broad","wang",-0.000841597918289739
"257","ERI","GROVE",413.0493519,"broad","wang",-0.00558445952399154
"258","ERI","ONS",405.9208801,"broad","wang",-0.00347429115105358
"259","ERI","SALV",409.3159594,"broad","wang",-0.00170952576603176
"260","ERI","SES",81.06229812,"broad","wang",-0.00298081183596751
"261","ERI","SIL",373.843266,"broad","wang",-0.00671116974896145
"262","ERI","SIN",162.2817874,"broad","wang",-0.00274944532118266
"263","ERI","VP",331.3144646,"broad","wang",-7.43673355949657e-05
"264","ESPO","ESPO",0,"broad","wang",0.00201175605525467
"265","ESPO","FIG",157.8730176,"broad","wang",0.00287198210650919
"266","ESPO","GROVE",104.102768,"broad","wang",-0.00487723643476864
"267","ESPO","ONS",96.93442116,"broad","wang",-0.00167191955282384
"268","ESPO","SALV",107.8190626,"broad","wang",0.00478766156760395
"269","ESPO","SES",397.9342655,"broad","wang",-0.000624168963007002
"270","ESPO","SIL",64.67786247,"broad","wang",-0.00251580991100498
"271","ESPO","SIN",479.1537548,"broad","wang",-0.0036719741833495
"272","ESPO","VP",14.33467183,"broad","wang",-0.00186423258333587
"273","FIG","FIG",0,"broad","wang",0.00341377300908313
"274","FIG","GROVE",254.4268665,"broad","wang",-0.000314351705666916
"275","FIG","ONS",247.2585197,"broad","wang",0.00170903234770105
"276","FIG","SALV",258.1431612,"broad","wang",0.00355056880909212
"277","FIG","SES",240.9938555,"broad","wang",0.00259791984861193
"278","FIG","SIL",215.001961,"broad","wang",-0.00365186712326488
"279","FIG","SIN",322.2133447,"broad","wang",-0.00310087543829093
"280","FIG","VP",172.1964231,"broad","wang",0.00115447694369948
"281","GROVE","GROVE",0,"broad","wang",-0.00721500850576951
"282","GROVE","ONS",7.168346802,"broad","wang",-0.00463993406641172
"283","GROVE","SALV",6.358447487,"broad","wang",-0.00116210442522736
"284","GROVE","SES",493.8319887,"broad","wang",-0.00149760549877883
"285","GROVE","SIL",39.42490549,"broad","wang",-0.00402024982874788
"286","GROVE","SIN",575.0514779,"broad","wang",-0.00801624023702243
"287","GROVE","VP",89.76809613,"broad","wang",-0.00318216017225507
"288","ONS","ONS",0,"broad","wang",0.0019525484073225
"289","ONS","SALV",10.88464149,"broad","wang",-0.00125387514826048
"290","ONS","SES",486.709202,"broad","wang",0.00241105702439639
"291","ONS","SIL",32.25655869,"broad","wang",-0.00449879820879183
"292","ONS","SIN",567.9286912,"broad","wang",-0.00418645947086124
"293","ONS","VP",82.59974933,"broad","wang",-0.0040790946270677
"294","SALV","SALV",0,"broad","wang",-0.000121973076828254
"295","SALV","SES",490.0957515,"broad","wang",0.00278135788852105
"296","SALV","SIL",43.14120018,"broad","wang",-0.00213566942896114
"297","SALV","SIN",571.3152408,"broad","wang",8.85616708039831e-05
"298","SALV","VP",93.48439082,"broad","wang",0.00123659602637758
"299","SES","SES",0,"broad","wang",0.00448297707850845
"300","SES","SIL",454.6571,"broad","wang",-0.00373735101597548
"301","SES","SIN",81.21948924,"broad","wang",0.000890770690420632
"302","SES","VP",412.167751,"broad","wang",-8.75164564830197e-05
"303","SIL","SIL",0,"broad","wang",-0.00409285066730874
"304","SIL","SIN",535.8765892,"broad","wang",-0.0103942266329337
"305","SIL","VP",50.34319064,"broad","wang",-0.00425340563805658
"306","SIN","SIN",0,"broad","wang",-0.00701517445608972
"307","SIN","VP",493.3872402,"broad","wang",-0.00338721062275196
"308","VP","VP",0,"broad","wang",-0.00357449807394265
"309","CIESN","CIESN",0,"local","wang",-0.000422347096982553
"310","CIESN","CIESS",3.584041834,"local","wang",-0.000158946790812064
"311","CIESN","COR",43.25984251,"local","wang",-0.00509558833359266
"312","CIESN","COUSO",7.168144374,"local","wang",-0.00496258746592677
"313","CIESN","GROVE",25.08885954,"local","wang",-0.00753724680336268
"314","CIESN","ONS",17.92051274,"local","wang",0.00145277502284463
"315","CIESN","SALV",28.80515423,"local","wang",-0.00149659215880446
"316","CIESN","SIL",14.33604595,"local","wang",-0.00574377352584676
"317","CIESS","CIESS",0,"local","wang",0.00374657663913493
"318","CIESS","COR",46.84388434,"local","wang",-0.00159262604596782
"319","CIESS","COUSO",10.75218621,"local","wang",-0.00120788252725905
"320","CIESS","GROVE",28.67290137,"local","wang",-0.00507611169415533
"321","CIESS","ONS",21.50455457,"local","wang",0.00163637185774159
"322","CIESS","SALV",32.38919606,"local","wang",0.00514965316210674
"323","CIESS","SIL",10.75200412,"local","wang",-0.00151428304172367
"324","COR","COR",0,"local","wang",-0.00142607105505896
"325","COR","COUSO",36.09169814,"local","wang",-0.00467355205934006
"326","COR","GROVE",18.17098297,"local","wang",-0.00335945932484847
"327","COR","ONS",25.33932977,"local","wang",-0.00247839548849765
"328","COR","SALV",14.46039884,"local","wang",0.00016645857243146
"329","COR","SIL",57.59588846,"local","wang",-0.0053048491123717
"330","COUSO","COUSO",0,"local","wang",-0.00625816452400253
"331","COUSO","GROVE",17.92071516,"local","wang",-0.0065498847105449
"332","COUSO","ONS",10.75236836,"local","wang",-0.00208453199809471
"333","COUSO","SALV",21.63700985,"local","wang",-0.00290201693457027
"334","COUSO","SIL",21.50419033,"local","wang",-0.00582569496455005
"335","GROVE","GROVE",0,"local","wang",-0.00721500850576951
"336","GROVE","ONS",7.168346802,"local","wang",-0.00463993406641172
"337","GROVE","SALV",6.358447487,"local","wang",-0.00116210442522736
"338","GROVE","SIL",39.42490549,"local","wang",-0.00402024982874788
"339","ONS","ONS",0,"local","wang",0.0019525484073225
"340","ONS","SALV",10.88464149,"local","wang",-0.00125387514826048
"341","ONS","SIL",32.25655869,"local","wang",-0.00449879820879183
"342","SALV","SALV",0,"local","wang",-0.000121973076828254
"343","SALV","SIL",43.14120018,"local","wang",-0.00213566942896114
"344","SIL","SIL",0,"local","wang",-0.00409285066730874
"345","AVE","AVE",0,"broad","lynchli",-0.00163347913117933
"346","AVE","BER",86.87749059,"broad","lynchli",-0.0194629329732965
"347","AVE","CIESN",432.1654782,"broad","lynchli",-0.00985865554949314
"348","AVE","CIESS",428.6041424,"broad","lynchli",-0.00256331501102192
"349","AVE","COR",460.3267746,"broad","lynchli",-0.00364928838837644
"350","AVE","COUSO",439.2881763,"broad","lynchli",-0.00705109447028421
"351","AVE","ERI",44.3253858,"broad","lynchli",-0.0102409284696963
"352","AVE","ESPO",361.1973532,"broad","lynchli",0.0013190142157373
"353","AVE","FIG",204.2569431,"broad","lynchli",0.000500132941944796
"354","AVE","GROVE",457.0950764,"broad","lynchli",-0.00993741554751374
"355","AVE","ONS",449.9722897,"broad","lynchli",-0.00627748944509277
"356","AVE","SALV",453.3588392,"broad","lynchli",0.003847281271533
"357","AVE","SES",36.73691232,"broad","lynchli",-0.00314686321462431
"358","AVE","SIL",417.9201876,"broad","lynchli",-0.00842304105056952
"359","AVE","SIN",117.9564016,"broad","lynchli",0.00193645197223675
"360","AVE","VP",375.4308387,"broad","lynchli",-0.00770448314804568
"361","BER","BER",0,"broad","lynchli",-0.0294626397088336
"362","BER","CIESN",345.2879877,"broad","lynchli",-0.0122089778130943
"363","BER","CIESS",341.7266518,"broad","lynchli",-0.00896091798742347
"364","BER","COR",373.449284,"broad","lynchli",-0.0123531480918483
"365","BER","COUSO",352.4106857,"broad","lynchli",-0.0185961876683312
"366","BER","ERI",50.5487865,"broad","lynchli",-0.0149056498531952
"367","BER","ESPO",274.3198626,"broad","lynchli",-0.0133008290667829
"368","BER","FIG",117.3794526,"broad","lynchli",-0.0070287977834566
"369","BER","GROVE",370.2175858,"broad","lynchli",-0.0190027665452235
"370","BER","ONS",363.0947991,"broad","lynchli",-0.0139607712522348
"371","BER","SALV",366.4813486,"broad","lynchli",-0.00616685765588981
"372","BER","SES",123.6144029,"broad","lynchli",-0.0102248937281025
"373","BER","SIL",331.0426971,"broad","lynchli",-0.0178633919078492
"374","BER","SIN",204.8338922,"broad","lynchli",-0.0125809175285733
"375","BER","VP",288.5533481,"broad","lynchli",-0.0139900134425679
"376","CIESN","CIESN",0,"broad","lynchli",-0.00379169191979429
"377","CIESN","CIESS",3.584041834,"broad","lynchli",0.0023078511202458
"378","CIESN","COR",43.25984251,"broad","lynchli",-0.00401278485522635
"379","CIESN","COUSO",7.168144374,"broad","lynchli",-0.0055881618636911
"380","CIESN","ERI",388.099881,"broad","lynchli",-0.00938197898070844
"381","CIESN","ESPO",79.01390842,"broad","lynchli",-0.00335355384311849
"382","CIESN","FIG",229.338007,"broad","lynchli",0.00539694836733546
"383","CIESN","GROVE",25.08885954,"broad","lynchli",-0.0102292262446519
"384","CIESN","ONS",17.92051274,"broad","lynchli",-0.000834652765693995
"385","CIESN","SALV",28.80515423,"broad","lynchli",0.00374877627167426
"386","CIESN","SES",468.9023906,"broad","lynchli",0.000350945257726762
"387","CIESN","SIL",14.33604595,"broad","lynchli",-0.00356898632226685
"388","CIESN","SIN",550.1218798,"broad","lynchli",-0.003162397894693
"389","CIESN","VP",64.67923659,"broad","lynchli",-0.00608783974497897
"390","CIESS","CIESS",0,"broad","lynchli",0.00787767664507227
"391","CIESS","COR",46.84388434,"broad","lynchli",0.00353992621007413
"392","CIESS","COUSO",10.75218621,"broad","lynchli",0.00225231278159867
"393","CIESS","ERI",384.5357119,"broad","lynchli",-0.00241753688882466
"394","CIESS","ESPO",75.42986659,"broad","lynchli",0.00703144271210009
"395","CIESS","FIG",225.7539651,"broad","lynchli",0.0108152028169547
"396","CIESS","GROVE",28.67290137,"broad","lynchli",-0.00731085866063741
"397","CIESS","ONS",21.50455457,"broad","lynchli",0.00315620132311642
"398","CIESS","SALV",32.38919606,"broad","lynchli",0.011920270035549
"399","CIESS","SES",465.3410548,"broad","lynchli",0.00505214589024118
"400","CIESS","SIL",10.75200412,"broad","lynchli",0.0021478346561738
"401","CIESS","SIN",546.560544,"broad","lynchli",0.0065559876824316
"402","CIESS","VP",61.09519476,"broad","lynchli",0.0016813116607251
"403","COR","COR",0,"broad","lynchli",0.00350567921906111
"404","COR","COUSO",36.09169814,"broad","lynchli",-0.00213014996971941
"405","COR","ERI",416.2952876,"broad","lynchli",-0.00584376194795892
"406","COR","ESPO",122.2737509,"broad","lynchli",0.00639721368510586
"407","COR","FIG",272.5978495,"broad","lynchli",0.00640519887752745
"408","COR","GROVE",18.17098297,"broad","lynchli",-0.000853208047030488
"409","COR","ONS",25.33932977,"broad","lynchli",0.000171569304660356
